model_name,family,run_name,raw_epoch,epoch,train_loss,val_loss,precision,recall,map50,map50_95,f1,time_seconds,dataset_resolution,input_resolution,training_seconds,best_weights,class_ap_biodegradable,class_ap_cardboard,class_ap_glass,class_ap_metal,class_ap_paper,class_ap_plastic
YOLOv8-M,yolo,yolov8m_data640_img640,14,14,3.22146,3.23269,0.63878,0.51442,0.58751,0.41644,0.5698945674639525,5090.71,640,640,7367.071856741968,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolov8m_data640_img640_best.pt,,,,,,
YOLOv8-M,yolo,yolov8m_data640_img640,15,15,3.1195699999999995,3.21793,0.63881,0.54178,0.58421,0.40971,0.5863076627782835,5465.47,640,640,7367.071856741968,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolov8m_data640_img640_best.pt,,,,,,
YOLOv8-M,yolo,yolov8m_data640_img640,16,16,3.03546,3.20821,0.64928,0.54157,0.58535,0.41206,0.5905539229956832,5832.36,640,640,7367.071856741968,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolov8m_data640_img640_best.pt,,,,,,
YOLOv8-M,yolo,yolov8m_data640_img640,17,17,2.96353,3.1818600000000004,0.6552,0.53513,0.59005,0.42036,0.5891091982890551,6200.14,640,640,7367.071856741968,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolov8m_data640_img640_best.pt,,,,,,
YOLOv8-M,yolo,yolov8m_data640_img640,18,18,2.91315,3.19165,0.65052,0.52821,0.58512,0.41409,0.5830192990756297,6574.53,640,640,7367.071856741968,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolov8m_data640_img640_best.pt,,,,,,
YOLOv8-M,yolo,yolov8m_data640_img640,19,19,2.87366,3.17685,0.65539,0.53692,0.59175,0.41949,0.5902693071427814,6942.6,640,640,7367.071856741968,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolov8m_data640_img640_best.pt,,,,,,
YOLOv8-M,yolo,yolov8m_data640_img640,20,20,2.84787,3.17146,0.66109,0.53435,0.59168,0.42001,0.5910015416912675,7316.81,640,640,7367.071856741968,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolov8m_data640_img640_best.pt,,,,,,
YOLO11-S,yolo,yolo11s_data640_img640,1,1,4.54298,4.565239999999999,0.48436,0.32478,0.3581,0.22288,0.38883367723708034,203.133,640,640,3799.8380880419863,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolo11s_data640_img640_best.pt,,,,,,
YOLO11-S,yolo,yolo11s_data640_img640,2,2,4.476,4.77008,0.43884,0.33161,0.34624,0.20437,0.37776294996381626,393.134,640,640,3799.8380880419863,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolo11s_data640_img640_best.pt,,,,,,
YOLO11-S,yolo,yolo11s_data640_img640,3,3,4.404780000000001,4.22762,0.45992,0.37899,0.38801,0.24704,0.41555132445624016,581.244,640,640,3799.8380880419863,/home/mikolaj/work/yolo-vs-rfdetr/trained_weights/yolo11s_data640_img640_best.pt,,,,,,
